IDNRK,LIFNR,ORT01
GU95112100,General Motors Company : Ship To,Detroit Michigan
GM424B2000,Mca_Gm,Silao
GM477A1200,Mkdc S.A. De C.V.,City
GM923A1100,케이엠텍,원주시
GM420B2000,Gm_Dortec_Oem,Concord Canada
GM440B2000,주식회사조이,시흥시
GM43100900,Tata Motors Passenger Vehicles Limi,Chikhali Pune
GZ311N6201,삼성에스 Iacc Tets,경기도 성남시
GM43200800,Aditya Auto Products And Engg India,Chennai
GM43300600,Hmma_Al_Oem,Montgomery
GM441B2100,한라정공,인천광역시
GM444A1000,Chrysler_Mobis_Oem,Detroit United States
K302591,Alpina Burkard Bovensiepen,Buchloe
K302599,Iryna_1111,Walbrzych
GM45300500,Raicam Industrie Srl,Manoppello
GM45300900,[Mca] Alabama Brake Plant,Usa
GM45301500,엠유에프지은행,서울특별시
K104309,Gm_Modatek_Oem,Milton Canada
GE91010800,Hyundai Mobis Bill-To(Payer),서울특별시
K103726,Mdk_Hmc,104-7
K103844,에스에이티,평택시
GE90112700,성진포머,대구광역시
K103058,Mdk_Chrysler_De,Mi Usa
K103804,Mcm_Canoo_Torrance_Usa_Oem,Ca  United States
GU925A1100,[Msc] Suzhou Steering Plant,Suzhou
K302443,Takenaka Europe Gmbh Sp. Z O.O.,Warszawa
GU826J1100,Nanotech1_Tds,Gandhinagar
GU89101100,Soldto Test,서울특별시
GU92100400,Ship To 1,부산광역시
GU845J1101,Tdscusupd2,Udaipur
GU836J1100,Zzz01,Szhou
GU845J1200,[Mdk] Pyeongtaek Brake Plant,Address
GU845J1102,Bmw Ag_German_De,Mnchen
GU89100500,Mck_Hm금속,City
GU93600300,Dongsung Poland Sp.Z.O.O,Zarow
GL705J4400,Kasia_Jaworska,Walbrzych
GL740J1600,Iza_Ar1 Test,Wabrzych
GL771J1700,대일정공-본사,익산시
GL911A2301,Gm_India(Krw)_De,Maharashtra India
GL940A1200,Mtc Customer Test 003,Tianjin
GM796A1300,Asd,경기도 성남시
GT91200100,Lufapak Gmbh_As,Euwied
GL91615700,Ford_Think_De,Detroit Mi  Usa
GZ373A1200,롯데정보통신,서울특별시
GE50010A00,X164910,City
GE90110100,[Msc] Suzhou Steering Plant,Suzhou
GJ96328400,Hyundai Mobis Bill-To(Payer),서울특별시
GM404B2000,Gm_Modatek_Oem,Ontario
GM406J2605,지엠에스,화성시
GM954A1100,Gm_Thai(Krw)_De,Pluakdaeng Rayong  Thailand
K302251,Mcp_Takenaka Europe Gmbh Sp. Z O.O.,Warszawa
GU820J5200,아셈텍,화성시
K300638,Halla Holdings,서울특별시
K301905,Gm Global Tooling Service Company,Luton
GU681A1100,Chrysler_Warren_Oem,Poland
GU93518900,Gm_Colombia_De,Bogota Dc Sur America Colombia
ROH-002,Takenaka Europe Gmbh Sp. Z O.O.,Warszawa
ROH-003,Hmma_Mobis(Rdc)_As,Montgomery
ROHO-001,Mdk_Hmc,104-7
ROHO-002,Gm_Ellesmere Port_Oem,Chesire
ROHC-001,Gm_Holden_De,Australia
ROHC-002,Test Normal,서울특별시
ROHO-003,Fdfd,경기도 성남시
ROOA-001,Zf Lemforder_Australia_De,Australia
ROCA-001,Ania10,Walbrzych
HALB-PP-001,Hyundai Mobis Bill-To(Payer),서울특별시
ROH-PP-001,엠아이티코리아,대전광역시
GU682A2200,Kia Motor Company,서울특별시
GU826A1300,Foreign Customer,Bloomington
GU845A4900,이요찬 Bp,서울특별시
GU89100510,아이엔지은행 서울지점,서울특별시
GU92100410,Gm_Thailand_De,Thailand
K104263,Gmk-Cny_Korea_De,인천광역시
GU845A4810,국민은행,서울특별시
K302420,Cs Sub Vendor,City
GU836A1100,Kia Motor Oem,서울특별시
GU845A4800,Milan_1907,Walbrzych
GU681A2200,[Mnc] Mando Ningbo,Ningbo
GU830C4820,신한은행 영업부,서울특별시
GU934B1100,Mdm_Testshipto,Address
GU95200100,Kia Motor Company,서울특별시
GU826A1401,Hyundai Motor Beijing,Beijing
GU845C4820,Ship To 1,부산광역시
GU845C482010,P15871,Pangyo
ZROH22,Gm_Ep_Oem,Ellesmere Port
BC12118500,Hyundai Motor Manufacturing Alabama,Montgomery
BC41016500,Shipto,서울특별시
BC47008601,"Matlab, Inc.",Asheboro
BC36001800,Chrysler_Warren_Oem,Warren United States
BC47008699,威马新能源汽车采购（上海）有限公司,Shanghai
MDM_BC12118500,Ford_Think_De,Detroit Mi  Usa
BC36001801,대화은행 서울지점,서울특별시
HALB-002,Gosia_1907,Walbrzych
K301471,(주)만도 Test_Hdk,경기도 성남시
ZROH-CO-001,"Matlab, Inc.",Asheboro
ROH0801,Hkmc_Korea_De,서울특별시
ROHC801,Hyundai Glovis,서울특별시
HALB002,"Matlab, Inc.",Asheboro
ROHC001,Test Company 2,울산광역시
ROHC002,Hyundai Motor Company,서울특별시
ROH001,Ford_India_De,Tn In
ROH002,Test_Customer,Pangyo
ROH003,Kia Motor Company,서울특별시
HALB801,Foreign Customer,Bloomington
HALB803,[Mdk] Wonju Steering Plant,Wonju
HALB802,Gm Motor_Usa_De,Mi Usa
ROHC802,Southern Polymers-Chennai,Chn
ROH802,Mca_Gm,Silao
ROH803,Ship To 1,부산광역시
HALB303,우리은행 판교지점,경기도 성남시
ROHC302,P15871,Pangyo
ROH301,Kia Motor Oem,서울특별시
ROH302,[Mtc] Tianjin Casting Plant,City
ROH303,Bst Rods S.A.,Lagazpi-Gipuzkoa
HALB301,Tesla,Shanghai
ROHC301,우영유압,인천광역시
HALB603,Hma Industries Private Limited-Irru,Chennai
ROHC602,[Do Not Use] --> M100-11,Address
ROH1603,중국은행,서울특별시
ROH1601,신영증권,서울특별시
HALB602,신한정밀공업대전공장,대전광역시
ROHC601,태양금속공업,안산시
ROH401,Bmw Ag,City
ROH402,성진포머,대구광역시
HALB503,Taeyang Metal India Pvt Ltd-Chennai,Ahmed Nagar
ROHC502,케이에이씨,원주시
ROH501,Standard Chartered Bank,New York
ROH503,Anna041293,Walbrzych
HALB501,Gm_Adam Opel(Euro)_As,Herne
HALB502,[Mdk] Wonju Steering Plant,Wonju
ROHC501,Amediateka,Walbrzych
ROHY101,새론오토모티브,천안시
ROHY201,제이디테크,경상남도 창원시
FERTY02,Kia Gwangmyeong Oem,Gwangmyeong-Si
BYPY101,Gm_Navistar_Oem,Springfield  United States
FERTY01,Gm_Indonesia_De,Pondok Ungu Bekasi West Java Ind
GE52100L00,성용하이테크,김포시
GE50554Y00,[Mtc] Mando Tianjin,Tianjin
GE52154Y00,하나은행,서울특별시
GE52200L00,중소기업은행 강남기업금융지점,서울특별시
GE50352F00,태양금속공업,안산시
GE52252F00,Amediateka,Walbrzych
GE54052F00,Bmw(Krw)_De,Munchen Deutschland
GE58118700,Test Company 2,울산광역시
GE58429301,한국산업은행 압구정지점,서울특별시
GM57524201,Gm_Ramos_Oem,Coach Mexico
GE54054Y00,Mdc0010,Suzhou
GE57552S00,Mcp_Lufapak Gmbh_As,Euwied
GE80054Y00,아셈텍,화성시
GE53500L00,Hyundai Motor Manufacturing Alabama,Montgomery
GE54300L00,Soldto Test,서울특별시
GM57724201,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
GE53054Y00,태산Eng,익산시
GE54354Y00,Gkn Sinter Metals Pvt Ltd-Pune(P2),Ahmed Nagar
GE802V0000,[Mdk] Iksan Suspension Plant,Iksan
GE810B3000,한라스택폴,청원군
GE818N4001,Pakt Sp. Z O.O.,Walbrzych
GE820N4000,Gmk-Cny_Korea_De,인천광역시
GE841N4000,Bmw_Ag,Munchen
GE841N4001,Hkmc_Korea_De,서울특별시
GE844N4001,[Mga] Georgia Brake Plant,Usa
GE850N4000,[Mga] Georgia Steering Plant,Georgia
GM453X1000,Sold To 06_22_0,경기도 성남시
GE813E6000,Kia Gwangmyeong Bill-To(Payer),Gwangmyeong-Si
GE815E6000,Roy Metal Finishing,Charlotte
GE844V0000,Soldto Test,서울특별시
GE850V0000,영광Eng,아산시
GE812B3000,Hyundai Motor Ulsan Ckd,울산광역시
GE821N4000,안남테크,인천광역시
GE823N4000,General Motors Company : Ship To,Detroit Michigan
GE821V0000,Ford_Master_As,Illionis
GE828N4000,Ford Werke Gmbh (Usd)_As,Koeln
GE829N4000,Kasia_Jaworska,Walbrzych
GE828V0000,삼성생명보험,서울특별시
GE829B3000,Iryna_1111,Walbrzych
GE834A2220,에스에이티,평택시
GE834N4000,다이나캐스트코리아,경기도 안양시
GE835A2220,[Do Not Use] --> M100-11,Address
GE837A2220,Mdk_Chrysler_De,Mi Usa
GE838A2220,ㄴShipto,서울특별시
GE839N4000,General Motors Company : Payer,Detroit Michigan
GE836N4000,Mcp_Igs Schreiner Gmbh,Hamburg
GE838N4000,Hyundai Mobis,서울특별시
GE851N4000,Customer_Lee_01,Frankfurt
GE853N4000,Gm Ecuador_As(Sp),Quito
GE854N4000,Majab33,Walbrzych
GE857N4000,아이엔지은행 서울지점,서울특별시
GE853V0000,Kia Motor Bill-To(Payer),서울특별시
GE854A3300,삼성생명보험,서울특별시
GE857A3300,Bmw Ag,City
GE855A3300,에스에이치로드제일차 주식회사,서울특별시
GJ666A1501,Mdc0010,Suzhou
GL686A1400,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
GJ666A1502,지엠비코리아,경상남도 창원시
GJ568A1201,Mce_Gm,Ellesmere Port
GJ773A5301,대성전기공업,안산시
GJ90102800,Hyundai Motor Company,서울특별시
GJ90715200,고려전자충주공장,충주시
GJ911A1401,Gm Thailand_Thailand_De,Apluakdaeng  Rayong Thailand
GJ913A1601,Mcp_ Ford Lincoln Cbg,Dummy
GL686A1100,Hmc_환경기술연구소_Oem,104-7
GL686A1300,Soldto Test,서울특별시
GL691A1801,Mcp_Lufapak Gmbh_As,Euwied
GL693A1201,신영증권,서울특별시
GL710B1701,Anna041293,Walbrzych
GL720J3601,Chrysler_Warren_Oem,Warren United States
GL789J1801,하이투자증권 법인영업부지점,서울특별시
GL913B5200,일륭기공본점,횡성군
GS95100100,Canoo_Torrance_Usa_Oem,Ca  United States
GT92000200,Soldto Test,서울특별시
GZ111A1401,Hyundai Motor Ulsan 1St Plant,울산광역시
GZ311X1101,Tsr,경상북도 구미시
GJ748A1702,교보생명보험,서울특별시
GJ761A6001,Comerica Bank,Ann Arbor
GZ131A1901,Crown Technologies Plant Ii,Ahmed Nagar
GJ773A5302,Y100547,City
K104301,Ford_India_De,Tn In
GL350A1302,Chrysler_De,Mi Usa
GL72019101,Comerica Bank,Ann Arbor
GL73024600,롯데정보통신 Shipto,서울특별시
GL74412500,Gm-Sha_Usa_De,Usa
GL76115500,엔에이치투자증권 잠실금융센터,서울특별시
GL77124300,Chrysler_Fca Ii_Oem,Mex  Mx
GL90512300,성진피앤티,인천광역시
GL91210500,Gm_Modatek_Oem,Milton Canada
GL92422500,Gosia_1907,Walbrzych
GL92423200,Sold To 06_22_0,경기도 성남시
GP93105400,Iza_Ar1 Test,Wabrzych
GR92000100,Mkdc S.A. De C.V.,Arteaga Coahuila Mexico
GS91700100,정원금속,평택시
GZ271A1700,Mcp_Gt Oberflächen Gmbh,Heinsdorfergrund
GZ351A1600,Gm Thailand_Thailand_De,Apluakdaeng  Rayong Thailand
GL721B2400,Chrysler_Warren_Oem,Poland
GL720J2700,Gm_Uzbekistan(Krw)_De(Sp),Uzberkistan
GL720J2600,[Mbc] Mando Beijing,Beijing
GS79001700,Zf Lemforder_Australia_De,Australia
GL714J3801,Mcp_Takenaka Europe Gmbh Sp. Z O.O.,Warszawa
GL711J2401,Mga_Chrysler,Warren United States
GL714J2900,Citibank Fsb,New Castle
GL714J3811,[Mdk] Korea Hq,Address
GL718B2901,Gm_Navistar_Oem,Springfield
GL72710700,광성브레이크,아산시
GL95111200,Sub Cont Test1,Abcd
GS79400100,Ccangtong,서울특별시
GS90000100,Tdscusupd3,Gandhinagar
GL714A9600,네이버,강원 춘천시
GL781A2900,Lufapak Gmbh_As,Euwied
GL789A6200,엠아이티코리아,대전광역시
GL798A1100,Sh Electonics India Pvt Ltd-Plant I,Chennai
GZ251A1300,상신브레이크,대구광역시
GL691A1500,현대해상화재보험,서울특별시
GL711J1200,Chrysler_De,Mi Usa
GL723A7300,Basf Polyurethanes Gmbh(Im),Lemfoerde Germany
GL789A3000,한국수출입은행,서울특별시
GM746A3800,Shipto,서울특별시
GM951A1500,Chrysler_Warren_Oem,Poland
GL714J2800,Mcm.Fordpr,Hermosillo
GL350A1301,노무라금융투자,서울특별시
GL723C3701,Mca_Gm,Silao
GL788A2501,Bmw(Krw)_De,Munchen Deutschland
GL795A1301,Gm_Ellesmere Port_Oem,Chesire
GL723C3711,Mck_Hm금속,City
GL714R0200,Sold To 06_22,경기도 성남시
GL721N4200,신동성,원주시
GZ311N6005,Bolim1,인천광역시
GL731B2100,Mcm_Gm,Mexico
GL723N4000,Gm_Lordstown_Oem,Detroit Mi
GL781N4000,도이치은행 서울지점,서울특별시
GL788N4000,Delta,Swidnica
GL765A9100,Gm Nao_Usa_De,Mi  Usa
GL765A9200,Abc Corporate,서울특별시
GL72424200,General Motors Company : Payer,Detroit Michigan
GL728A4200,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
GL72736300,Ford_Flat Rock_Oem,Mi  United States
GL79611200,Amediateka,Walbrzych
GL79611300,Gmdat_Korea_De,Gunsanjeonbuk
GL91011000,Mai_Ashley Alteams India Limit,Chn
GL72424100,Iza_Ar1 Test,Wabrzych
GL729A1100,Gm_Brazil_De,Pr  Brazil
GL73024800,롯데정보통신,서울특별시
GL73024300,Gm Motor_Usa_De,Mi Usa
GL79611500,Gm_As_,Memphis Tn
GT91500200,Gm_Ramos_Oem,Coach
GU90006800,Volkswagen Poland Bill-To(Payer),Pozna
GL330C3400,미래에셋증권,서울특별시
GL743A3300,세아메탈원주공장,원주시
GL784A4500,Hyundai Motor Asan Plant,Asan-Si
GL789A6100,Mcm_Gm1.1,Ramos Arizpe Coah
GL674N4000,Ford Lio Ho Motor Cp Ltd,Taoyuan City Taiwan Roc
GL743N4000,Bst Rods S.A.,Lagazpi-Gipuzkoa
GL784N4000,Mdm_Testpayer,Address
GL784N4100,영완,시흥시
GL674N4500,Gm_Lordstown_Oem,Detroit Mi
K103171,Ap Warehouse ( Sakthi Traders ),Bangalore-Hyderabad Highway Ananta
GL777A3100,Halla Holdings,서울특별시
GL777N4000,에스케이증권,서울특별시
K103075,Hyundai Motor Company,서울특별시
K103069,Mcm_Gm,Mexico
K103123,Test,서울특별시
GE50457B00,Mdc0010,Suzhou
GE65502F11,한성테크,익산시
GL789N4000,Dongsung Poland Sp.Z.O.O,Zarow
GM404N4000,Gmdat_Korea_De,Gunsanjeonbuk
GM406R0200,[Mail] Chennai Plant#1,Pillaipakkam Post Sriperumbudur Ta
GM454A1100,삼성에스디에스 물류법인(Im),경기도 성남시
GT90001100,Gm_Indonesia_De,Pondok Ungu Bekasi West Java Ind
K302708,엠유에프지은행,서울특별시
GM423B2100,X164910,City
GE65202F11,Cho_Customer_02,Frankfurt
GM423N4000,Hmc_원효로서비스센터_Oem,86 원효로4가
GM425N4000,Test Customer Msb,경기도 성남시
GM430N4000,인하테크,원주시
GM470N4000,Hyundai Motor Jeonju Bill-To(Payer),Wanju-Gun
GM471A1100,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
GM493X1100,威马新能源汽车采购（上海）有限公司,Shanghai
GM91000100,Gm_Ep_Oem,Ellesmere Port
GL676A1200,Korea Development Bank,New York
GL725A4200,교통은행 서울지점,서울특별시
GL740A4300,Chrysler_Warren_Oem,Warren United States
GL771A3900,아셈텍,화성시
GL777A3200,Gm_Mexico_De,Mexico
GL911A1900,Kr,서울특별시
GM454N4000,Raicam Industrie Srl,Manoppello
GZ113A1501,Gm_Opel_Europe(Eur)_De(Sp),United Kingdom
GZ233A1100,Asd,경기도 성남시
GZ373N4000,[Mcp] Mando Poland,Walbrzych
GZ471A1900,대화은행 서울지점,서울특별시
GZ711N4000,Gt Oberflächen Gmbh,Heinsdorfergrund
GZ811C9600,[Mca] Mando America,Usa
K302496,키미,시흥시
GL705J2200,Mcp_Bmw,Garching-Hochbrueck
GL689C1200,Gm_Holden_De,Australia
GL705J2400,에스케이증권,서울특별시
GL705J2500,Kasia 100,Walbrzych
GL671N4000,Msc_Gm,Mexico
GL674N4100,Canoo_Torrance_Usa_Oem,Ca  United States
GL720R0200,하이투자증권 법인영업부지점,서울특별시
GL740N4000,Chrysler_Mobis_Oem,Detroit United States
GL771N4000,Mdk_Bmw,Munchen Deutschland
GL777N4100,Tdscusupd3,Gandhinagar
GZ411N4000,Ford_Mex_Oem,City
GZ441A1100,[Do Not Use] --> M310-31,Usa
GM412A4800,Kc Sol Tec,Auburn
GM496A1500,신동성,원주시
GZ311X2100,Chrysler_Dana Toledo_Oem,Toledo United States
GM413A3700,Gm-Sha_Usa_De,Usa
GM413N4000,Gm_Dortec_Oem,Concord Canada
GM415A1900,Mdm_Testsoldto222233333,서울특별시
GM414A5300,[Mcc] Chongqing,Chongqing
GM418A1201,[Mga] Georgia Brake Plant,Usa
GZ511A1700,Test2,Frankfurt
GM421B2100,삼성생명보험,서울특별시
GM421N4000,Reiner Sp. Z O.O.,Miekinia
GM422B2100,한라세라지오,City
GM420B2100,지엠비코리아,경상남도 창원시
GE66102F11,Zzz01,Szhou
GM440N4000,Soldto Test,서울특별시
GM456X1000,롯데정보통신,서울특별시
GZ313N4000,Chrysler_Fca Ii_Oem,Mex  Mx
GZ571A1700,엠아이티코리아,대전광역시
GM426N4000,Test_Customer,Pangyo
GM441X1310,Mcp_Lufapak Gmbh_As,Euwied
KSGM440001,Dariacustomer,Walbrzych
GM444B3310,Hyundai Motor Beijing,Beijing
GM412N4000,삼성화재해상보험,서울특별시
GM454A1200,Mkdc S.A. De C.V.,City
GM474A2600,미쓰이스미토모은행 서울지점,서울특별시
GM492A1200,Mbc_Bmw Ag_German_De,Mnchen
GM476A1100,Gm_Spring Hill_Oem,Tn  United States
GM478A1200,Test2,Frankfurt
GM479A1100,Basf Polyurethanes Gmbh(Im),Lemfoerde Germany
K103799,Kasia 100,Walbrzych
GP22042500,Mga_Hmma,Test
GP23011200,전성,충주시
GP26305190,Karolina,Walbrzych
GP26502000,Mcm_Ford1,Saltillo
GP28006800,Hyundai Motor Manufacturing Alabama,Montgomery
GP90015800,Mdm_Testpayer,Address
GP91200200,농협은행 안중지점,경기도 평택시
GP94018200,Hyundai Mobis Ship-To,서울특별시
GP21037900,Y100547,City
GP22040000,Hundai,Banglore
GP23015200,Ford_Think_De,Detroit Mi  Usa
GP26002400,Zf Lemforder_Australia_De,Australia
GP26303090,Customer_Shaun,Walbrzych
GP28005700,태양금속공업,안산시
GP21067800,Soldto Test,서울특별시
GP22055200,Karolina,Walbrzych
GP23020100,Mdk_Sgm_De,Shanghichina
GP26006191,Gm_Brazil_De,Spbrazil
GP28000301,Ford_Na_De,Dearborn Mi  Us
GP90016100,성용하이테크,김포시
GP94019100,태양금속공업,안산시
GP98100802,Ford_Australia_De,Australia
GP21037800,Mcp_Gt Oberflächen Gmbh,Heinsdorfergrund
GP21120600,Shipto Test_22,서울특별시
GP21323700,Mcp_Boge Elastmetall Gmbh,Damme
GP28804000,오토테크,원주시
GP21038000,Kasia_Jaworska,Walbrzych
GP21120700,Hyundai Motor Jeonju Bill-To(Payer),Wanju-Gun
GP21323900,Gm_Brazil_De,Pr  Brazil
GP21137100,Precision Pressform Industries-Plan,Ben
GP21344300,안남테크,인천광역시
GP92111490,X10054,City
GP93007400,Hyundai Motor Beijing Bill-To(Payer,Beijing
GP21216800,Gm_Korea_Oem,인천광역시
GP21216900,Bmw Ag_Oem,Munchen
GP21323710,Hyundai Motors Korea,서울특별시
GP21323800,Gm_Dropship Kyb Android Euro_Oem,Shreveport United States
GP21323910,Hyundai Mobis,서울특별시
GP21344310,신아금속,화성시
GP21344200,Gm_Oshawa_Oem,Oshawa On
GP21601400,키미,시흥시
GP21602400,디에스,시흥시
GP22114700,Iza_Ar1 Test,Wabrzych
GP24023800,Gm_Brazil_De,Pr  Brazil
GP92005700,에스엠티코리아리미티드,안성시
GP93001800,Mdk_Gmsa,South Africa
K302371,광덕에이앤티,인천광역시
GP24025400,[Mga] Georgia Steering Plant,Georgia
GP24034400,Hmma_Al_Oem,Montgomery
GP92005600,Gm_Android Industries_Oem,Shreveport United States
GP93021300,Customer_Lee_01,Frankfurt
GP95105100,Basf Polyurethanes Gmbh(Im),Lemfoerde Germany
GP22129600,Chrysler_Dana Va Chesapeake_Oem,Detroit United States
GP22108200,Wells Fargo Bank N.A.,San Francisco
GP22219700,Mkdc S.A. De C.V.,City
K201781,하이투자증권,부산광역시
GP23124100,Sundaram Auto Components Limited Pl,Chennai
GP23203500,乐采商贸（广州）有限公司北京分公司,City
GP23134700,[Mtc] Mando Tianjin,Tianjin
GP23205100,Mcm_Ford1,Saltillo
GP95402000,신성Atc,원주시
GP23150100,원광산업(주),원주시
GP95400400,Kia Hwaseong Ckd,Hwaseong-Si
GP23124300,Mcp_Gt Oberflächen Gmbh,Heinsdorfergrund
K103024,Youngshin Automotive India Private,Chennai
GP23134710,Mcp_Customer_Shaun_01,Wabrzych
GP23134800,아센텍,아산시
K104290,Gm_Oshawa_Oem,Oshawa On
GP23150110,Hyundai Motor Company,서울특별시
GP23150200,Gm Motor_Usa_De,Mi Usa
GP23201200,Gm_Adam Opel(Euro)_As,Herne
GP23201300,Gm_Brazil_De,Spbrazil
GP23300700,Milan_1907,Walbrzych
GP93105500,Cs Sub Vendor24,City
GP23205000,Hyundai Mobis,울산광역시
GP23301400,(주)만도 Test_Hdk,경기도 성남시
GP93111300,Ania10,Walbrzych
GP23209700,엠아이티코리아,대전광역시
GP93119500,Tsr,경상북도 구미시
GP23201000,Msc_Bhmc/Dyk_De,Suzhou New District
GP24125700,Dariacustomer,Walbrzych
GP24454000,[Mbc] Beijing Brake Plant,Beijing
GP93100200,명진금속공업주식회사,안산시
GP24126700,Gm_Holden_De,Australia
GP24134700,P15871,Pangyo
GP24468600,아센텍,아산시
GP341A1100,디에스피이엔티,아산시
GP92300201,Gm Korea,인천광역시
GP24223000,인게이지,평택시
GP92400100,Kia Kwangju Bill-To(Payer),광주광역시
GP24254700,Reiner Sp. Z O.O.,Miekinia
GP24322300,Kia Gwangmyeong Bill-To(Payer),Gwangmyeong-Si
GP24272900,Gm_Brazil_As,Guarulhos - So Paulo - Brasil
GP24223030,[Mdk] Pyeongtaek Brake Plant1,Pyeongtaek
GP92311400,Mcm_Gm,Mexico
GP24222900,Hyundai Motor Manufacturing Alabama,Montgomery
K104494,한국수출입은행,서울특별시
GP24254730,광성브레이크,아산시
GP24257800,[Mtc] Mando Tianjin,Tianjin
GP24273000,Ford_India_De,Tn In
GP24272910,국민은행,서울특별시
K101637,Gm_Lordstown_Oem,Detroit Mi
K302369,Msc_Gm,Mexico
K302410,부산세관,부산광역시
GP24312100,Test_Customer,Pangyo
GP24322315,[Mbc] Mando Beijing,Beijing
GP24322400,Asd,서울특별시
GP24338615,Mck_주식회사 일신캐스팅,City
GP24338700,Sri Jayalakshmi Industries-Chennai,Chennai
GP24338610,Ania10,Walbrzych
GP24439700,Reiner Sp. Z O.O.,Miekinia
GP95100300,Hmma_Al_Oem,Montgomery
GP24439800,하나은행 중소기업기술정보진흥원,세종특별자치시
GP24454100,한도,천안시
GP24454120,Gm_Thai(Krw)_De(Sp),Thailand
GP24468720,Hyundai Motor Asan Plant,Asan-Si
GP24468710,Kb오토시스,아산시
GP24510400,성진포머,대구광역시
GP24600100,Shaun_1,Wabrzych
GP24510410,Mtc Customer Test 003,Tianjin
GP24501400,Gm_Colombia(Krw)_De,Bogota Dc Sur America Colombia
GP27601800,Ford Lincoln Cbg,Dummy
GP29007200,교보생명보험,서울특별시
GP91010600,Hyundai Motors A/S,울산광역시
GP25109800,Mcm_Gmtest,Ramos Arizpe Coah
GP25204900,Msy_Opel Gmbh_Germany_De,Germany
GP27404800,Mck_Hm금속,City
GP25109900,江苏瑞尔隆鼎实业有限公司,Beijing
GP25401200,Tata Motors Passenger Vehicles Limi,Chikhali Pune
GP25117400,광성정밀,아산시
GP25208400,Hyundai Motors R&D Center,Hwaseong-Si
GP25501700,Mdm_Testfi-Customer,Address
GP25048100,전성,충주시
GP274A1900,신한은행 Gs타워대기업금융센터,서울특별시
GP27602700,Mkdc S.A. De C.V.,City
GP91011300,Mtc Customer Test 003,Tianjin
